Time,F_in,F_out
17:38:00,-8.10E-05,-0.001419355
17:38:01,-0.000162063,-0.00283871
17:38:02,-0.00039779,-0.006967742
17:38:03,-7.73E-05,-0.001354839
17:38:04,-0.000438306,-0.007677419
17:38:05,-0.000349908,-0.006129032
17:38:06,-0.00011418,-0.002
17:38:07,-0.000390424,-0.00683871
17:38:08,5.16E-05,0.000903226
17:38:09,-0.000357274,-0.006258065
17:38:10,-0.000165746,-0.002903226
17:38:11,-0.00012523,-0.002193548
17:38:12,-0.000165746,-0.002903226
17:38:13,-4.05E-05,-0.000709677
17:38:14,-7.73E-05,-0.001354839
17:38:15,-7.73E-05,-0.001354839
17:38:16,-0.000209945,-0.003677419
17:38:17,-0.000305709,-0.005354839
17:38:18,-7.73E-05,-0.001354839
17:38:19,-0.000206262,-0.003612903
17:38:20,-0.000401473,-0.007032258
17:38:21,-0.000357274,-0.006258065
17:38:22,-0.000394107,-0.006903226
17:38:23,-0.00012523,-0.002193548
17:38:24,-0.00012523,-0.002193548
17:38:25,-0.000169429,-0.002967742
17:38:26,-0.000169429,-0.002967742
17:38:27,-0.000165746,-0.002903226
17:38:28,-3.68E-05,-0.000645161
17:38:29,-0.000257827,-0.004516129
17:38:30,-0.000220994,-0.003870968
17:38:31,-0.00026151,-0.004580645
17:38:32,-8.10E-05,-0.001419355
17:38:33,-0.000294659,-0.00516129
17:38:34,-0.000342541,-0.006
17:38:35,-0.000121547,-0.002129032
17:38:36,-7.73E-05,-0.001354839
17:38:37,-0.000294659,-0.00516129
17:38:38,-0.000346225,-0.006064516
17:38:38,-0.000165746,-0.002903226
17:38:39,-0.000165746,-0.002903226
17:38:40,-0.000165746,-0.002903226
17:38:41,-0.000360958,-0.006322581
17:38:42,-0.000254144,-0.004451613
17:38:43,-0.000257827,-0.004516129
17:38:44,-0.000165746,-0.002903226
17:38:45,-0.00026151,-0.004580645
17:38:46,-0.000342541,-0.006
17:38:47,-0.000302026,-0.005290323
17:38:48,-0.000353591,-0.006193548
17:38:49,-0.000482505,-0.008451613
17:38:50,-0.000165746,-0.002903226
17:38:51,-3.31E-05,-0.000580645
17:38:52,-0.000390424,-0.00683871
17:38:53,-3.68E-05,-0.000645161
17:38:54,-0.000165746,-0.002903226
17:38:55,-0.000346225,-0.006064516
17:38:56,-0.000209945,-0.003677419
17:38:57,-0.000169429,-0.002967742
17:38:58,-0.000217311,-0.003806452
17:38:59,-0.000128913,-0.002258065
17:39:00,-0.000390424,-0.00683871
17:39:01,-0.000316759,-0.001419355
17:39:02,-0.000305709,-0.00283871
17:39:03,-0.00012523,-0.006967742
17:39:04,-0.000257827,-0.001354839
17:39:05,-3.31E-05,-0.007677419
17:39:06,-0.000206262,-0.006129032
17:39:07,-0.000176796,-0.002
17:39:08,-0.000257827,-0.00683871
17:39:09,-7.73E-05,0.000903226
17:39:10,-0.00011418,-0.006258065
17:39:11,-0.000302026,-0.002903226
17:39:12,-0.000342541,-0.002193548
17:39:13,-7.37E-05,-0.002903226
17:39:14,-8.10E-05,-0.000709677
17:39:15,-0.000438306,-0.001354839
17:39:16,-0.000305709,-0.001354839
17:39:17,-0.00012523,-0.003677419
17:39:18,-0.00012523,-0.005354839
17:39:19,-0.00012523,-0.001354839
17:39:20,-3.31E-05,-0.003612903
17:39:21,-0.000434622,-0.007032258
17:39:22,-8.47E-05,-0.006258065
17:39:23,-0.000117864,-0.006903226
17:39:23,-0.000213628,-0.002193548
17:39:24,-0.000121547,-0.002193548
17:39:25,-0.000165746,-0.002967742
17:39:26,-0.000162063,-0.002967742
17:39:27,-0.000169429,-0.002903226
17:39:28,-0.000302026,-0.000645161
17:39:29,-0.000158379,-0.004516129
17:39:30,-2.58E-05,-0.003870968
