Time,F_in,F_out
0.734722222,0.009043796,0.137666667
0.734733796,0.008963504,0.136444444
0.73474537,0.008729927,0.132888889
0.734756944,0.009047445,0.137722222
0.734768519,0.008689781,0.132277778
0.734780093,0.008777372,0.133611111
0.734791667,0.009010949,0.137166667
0.734803241,0.008737226,0.133
0.734814815,0.009175182,0.139666667
0.734826389,0.008770073,0.1335
0.734837963,0.008959854,0.136388889
0.734849537,0.009,0.137
0.734861111,0.008959854,0.136388889
0.734872685,0.009083942,0.138277778
0.734884259,0.009047445,0.137722222
0.734895833,0.009047445,0.137722222
0.734907407,0.008916058,0.135722222
0.734918981,0.008821168,0.134277778
0.734930556,0.009047445,0.137722222
0.73494213,0.008919708,0.135777778
0.734953704,0.008726277,0.132833333
0.734965278,0.008770073,0.1335
0.734976852,0.008733577,0.132944444
0.734988426,0.009,0.137
0.735,0.009,0.137
0.735011574,0.008956204,0.136333333
0.735023148,0.008956204,0.136333333
0.735034722,0.008959854,0.136388889
0.735046296,0.009087591,0.138333333
0.73505787,0.008868613,0.135
0.735069444,0.008905109,0.135555556
0.735081019,0.008864964,0.134944444
0.735092593,0.009043796,0.137666667
0.735104167,0.008832117,0.134444444
0.735115741,0.008784672,0.133722222
0.735127315,0.00900365,0.137055556
0.735138889,0.009047445,0.137722222
0.735150463,0.008832117,0.134444444
0.735162037,0.008781022,0.133666667
0.735162037,0.008959854,0.136388889
0.735173611,0.008959854,0.136388889
0.735185185,0.008959854,0.136388889
0.735196759,0.008766423,0.133444444
0.735208333,0.008872263,0.135055556
0.735219907,0.008868613,0.135
0.735231481,0.008959854,0.136388889
0.735243056,0.008864964,0.134944444
0.73525463,0.008784672,0.133722222
0.735266204,0.008824818,0.134333333
0.735277778,0.008773723,0.133555556
0.735289352,0.008645985,0.131611111
0.735300926,0.008959854,0.136388889
0.7353125,0.009091241,0.138388889
0.735324074,0.008737226,0.133
0.735335648,0.009087591,0.138333333
0.735347222,0.008959854,0.136388889
0.735358796,0.008781022,0.133666667
0.73537037,0.008916058,0.135722222
0.735381944,0.008956204,0.136333333
0.735393519,0.008908759,0.135611111
0.735405093,0.00899635,0.136944444
0.735416667,0.008737226,0.133
0.735428241,0.008810219,0.137666667
0.735439815,0.008821168,0.136444444
0.735451389,0.009,0.132888889
0.735462963,0.008868613,0.137722222
0.735474537,0.009091241,0.132277778
0.735486111,0.008919708,0.133611111
0.735497685,0.008948905,0.137166667
0.735509259,0.008868613,0.133
0.735520833,0.009047445,0.139666667
0.735532407,0.009010949,0.1335
0.735543981,0.008824818,0.136388889
0.735555556,0.008784672,0.137
0.73556713,0.009051095,0.136388889
0.735578704,0.009043796,0.138277778
0.735590278,0.008689781,0.137722222
0.735601852,0.008821168,0.137722222
0.735613426,0.009,0.135722222
0.735625,0.009,0.134277778
0.735636574,0.009,0.137722222
0.735648148,0.009091241,0.135777778
0.735659722,0.008693431,0.132833333
0.735671296,0.009040146,0.1335
0.73568287,0.009007299,0.132944444
0.73568287,0.008912409,0.137
0.735694444,0.00900365,0.137
0.735706019,0.008959854,0.136333333
0.735717593,0.008963504,0.136333333
0.735729167,0.008956204,0.136388889
0.735740741,0.008824818,0.138333333
0.735752315,0.008967153,0.135
0.735763889,0.00909854,0.135555556
0.735775463,0.009,0.134944444
0.735787037,0.009051095,0.137666667
0.735798611,0.008828467,0.134444444
0.735810185,0.009,0.133722222
0.735821759,0.009043796,0.137055556
0.735833333,0.008963504,0.137722222
0.735844907,0.008729927,0.134444444
0.735856481,0.009047445,0.133666667
0.735868056,0.008689781,0.136388889
0.73587963,0.008777372,0.136388889
0.735891204,0.009010949,0.136388889
0.735902778,0.008737226,0.133444444
0.735914352,0.009175182,0.135055556
0.735925926,0.008770073,0.135
0.7359375,0.008959854,0.136388889
0.735949074,0.009,0.134944444
0.735960648,0.008959854,0.133722222
0.735972222,0.009083942,0.134333333
0.735983796,0.009047445,0.133555556
0.73599537,0.009047445,0.131611111
0.736006944,0.008916058,0.136388889
0.736018519,0.008821168,0.138388889
0.736030093,0.009047445,0.133
0.736041667,0.008919708,0.138333333
0.736053241,0.008726277,0.136388889
0.736064815,0.008770073,0.133666667
0.736076389,0.008733577,0.135722222
0.736087963,0.009,0.136333333
0.736099537,0.009,0.135611111
0.736111111,0.008956204,0.136944444
0.736122685,0.008956204,0.133
0.736134259,0.008959854,0.137666667
0.736145833,0.009087591,0.136444444
0.736157407,0.008868613,0.132888889
0.736168981,0.008905109,0.137722222
0.736180556,0.008864964,0.132277778
0.73619213,0.009043796,0.133611111
0.73619213,0.008832117,0.137166667
0.736203704,0.008784672,0.133
0.736215278,0.00900365,0.139666667
0.736226852,0.009047445,0.1335
0.736238426,0.008832117,0.136388889
0.73625,0.008781022,0.137
0.736261574,0.008959854,0.136388889
0.736273148,0.008959854,0.138277778
0.736284722,0.008959854,0.137722222
0.736296296,0.008766423,0.137722222
0.73630787,0.008872263,0.135722222
0.736319444,0.008868613,0.134277778
0.736331019,0.008959854,0.137722222
0.736342593,0.008864964,0.135777778
0.736354167,0.008784672,0.132833333
0.736365741,0.008824818,0.1335
0.736377315,0.008773723,0.132944444
0.736388889,0.008645985,0.137
0.736400463,0.008959854,0.137
0.736412037,0.009091241,0.136333333
0.736423611,0.008737226,0.136333333
0.736435185,0.009087591,0.136388889
0.736446759,0.008959854,0.138333333
0.736458333,0.008781022,0.135
0.736469907,0.008916058,0.135555556
0.736481481,0.008956204,0.134944444
0.736493056,0.008908759,0.137666667
0.73650463,0.00899635,0.134444444
0.736516204,0.008737226,0.133722222
0.736527778,0.008810219,0.137055556
0.736539352,0.008821168,0.137722222
0.736550926,0.009,0.134444444
0.7365625,0.008868613,0.133666667
0.736574074,0.009091241,0.136388889
0.736585648,0.008919708,0.136388889
0.736597222,0.008948905,0.136388889
0.736608796,0.008868613,0.133444444
0.73662037,0.009047445,0.135055556
0.736631944,0.009010949,0.135
0.736643519,0.008824818,0.136388889
0.736655093,0.008784672,0.134944444
0.736666667,0.009051095,0.133722222
0.736678241,0.009043796,0.134333333
0.736689815,0.008689781,0.133555556
0.736701389,0.008821168,0.131611111
0.736701389,0.009,0.136388889
0.736712963,0.009,0.138388889
0.736724537,0.009,0.133
0.736736111,0.009091241,0.138333333
0.736747685,0.008693431,0.136388889
0.736759259,0.009040146,0.133666667
0.736770833,0.009007299,0.135722222
0.736782407,0.008912409,0.136333333
0.736793981,0.00900365,0.135611111
0.736805556,0.008959854,0.136944444
0.73681713,0.008963504,0.133
0.736828704,0.008956204,0.137666667
0.736840278,0.008824818,0.136444444
0.736851852,0.008967153,0.132888889
0.736863426,0.00909854,0.137722222
0.736875,0.009,0.132277778
0.736886574,0.009051095,0.133611111
0.736898148,0.009587591,0.137166667
0.736909722,0.008821168,0.133
0.736921296,0.009189781,0.139666667
0.73693287,0.008821168,0.1335
0.736944444,0.00919708,0.136388889
0.736956019,0.010124088,0.137
0.736967593,0.010624088,0.136388889
0.736979167,0.01120438,0.138277778
0.736990741,0.010810219,0.137722222
0.737002315,0.009854015,0.137722222
