Time,F_in,F_out
16:14:15,0.015683636,0.02368
16:14:16,0.014981818,0.02478
16:14:17,0.014712727,0.02374
16:14:18,0.014672727,0.02329
16:14:19,0.015076364,0.02342
16:14:20,0.015316364,0.02315
16:14:21,0.014298182,0.02394
16:14:22,0.016029091,0.02315
16:14:22,0.014629091,0.02317
16:14:23,0.014636364,0.02419
16:14:24,0.014298182,0.02339
16:14:25,0.013941818,0.02361
16:14:26,0.013738182,0.02352
16:14:27,0.014745455,0.02382
16:14:28,0.013378182,0.02457
16:14:29,0.013912727,0.02361
16:14:30,0.012312727,0.02375
16:14:31,0.015261818,0.02343
16:14:32,0.013643636,0.02412
16:14:33,0.01304,0.02481
16:14:34,0.013996364,0.02551
16:14:35,0.015683636,0.02526
16:14:36,0.014981818,0.02493
16:14:37,0.014712727,0.02474
16:14:38,0.014672727,0.02352
16:14:39,0.015076364,0.02479
16:14:40,0.015316364,0.02423
16:14:41,0.014298182,0.0241
16:14:42,0.016029091,0.02397
16:14:43,0.014629091,0.02387
16:14:44,0.014636364,0.02385
16:14:45,0.014298182,0.02384
16:14:46,0.013941818,0.02432
16:14:47,0.013738182,0.02431
16:14:48,0.014745455,0.02363
16:14:49,0.013378182,0.0241
16:14:50,0.013912727,0.02408
16:14:51,0.012312727,0.02384
16:14:52,0.015261818,0.02421
16:14:53,0.013643636,0.02411
16:14:54,0.01304,0.02396
16:14:55,0.013996364,0.02385
16:14:56,0.015683636,0.02384
16:14:57,0.014981818,0.0242
16:14:58,0.014712727,0.02383
16:14:59,0.014672727,0.02373
16:15:00,0.015076364,0.02385
16:15:01,0.015316364,0.02395
16:15:02,0.014298182,0.02432
16:15:03,0.016029091,0.02311
16:15:04,0.014629091,0.02343
16:15:05,0.014636364,0.02462
16:15:06,0.014298182,0.02292
16:15:07,0.013941818,0.02347
16:15:08,0.013738182,0.02359
16:15:08,0.014745455,0.0233
16:15:09,0.013378182,0.02429
16:15:10,0.013912727,0.02392
16:15:11,0.012312727,0.02432
16:15:12,0.015261818,0.02409
16:15:13,0.013643636,0.0237
16:15:14,0.01304,0.02351
16:15:15,0.013996364,0.02317
16:15:16,0.015683636,0.02454
16:15:17,0.014981818,0.02303
16:15:18,0.014712727,0.02444
16:15:19,0.014672727,0.02317
16:15:20,0.015076364,0.02302
16:15:21,0.015316364,0.02316
16:15:22,0.014298182,0.02327
16:15:23,0.016029091,0.02281
16:15:24,0.014629091,0.02372
16:15:25,0.014636364,0.02512
16:15:26,0.014298182,0.02339
16:15:27,0.013941818,0.02457
16:15:28,0.013738182,0.0242
16:15:29,0.014745455,0.02468
16:15:30,0.013378182,0.02385
16:15:31,0.013912727,0.02444
16:15:32,0.012312727,0.02453
16:15:33,0.015261818,0.02331
16:15:34,0.013643636,0.02305
16:15:35,0.01304,0.02431
16:15:36,0.013996364,0.02296
16:15:37,0.015683636,0.02305
16:15:38,0.014981818,0.02341
16:15:39,0.014712727,0.0235
16:15:40,0.014672727,0.02421
16:15:41,0.015076364,0.02341
16:15:42,0.015316364,0.02512
16:15:43,0.014298182,0.02362
16:15:44,0.016029091,0.02376
16:15:45,0.014629091,0.0235
16:15:46,0.014636364,0.02375
16:15:47,0.014298182,0.02332
16:15:48,0.013941818,0.02401
16:15:49,0.013738182,0.0247
16:15:50,0.014745455,0.02436
16:15:51,0.013378182,0.02433
16:15:52,0.013912727,0.02397
16:15:53,0.012312727,0.02409
16:15:53,0.015261818,0.02478
16:15:54,0.013643636,0.024
16:15:55,0.01304,0.02409
16:15:56,0.013996364,0.02459
16:15:57,0.014981818,0.02448
16:15:58,0.014712727,0.02517
16:15:59,0.014672727,0.02434
16:16:00,0.015076364,0.02437
16:16:01,0.015316364,0.02436
16:16:02,0.014298182,0.02398
16:16:03,0.016029091,0.02377
16:16:04,0.014629091,0.02459
16:16:05,0.014636364,0.02436
16:16:06,0.014298182,0.02435
16:16:07,0.013941818,0.02435
16:16:08,0.013738182,0.02413
16:16:09,0.014745455,0.02427
16:16:10,0.013378182,0.02355
16:16:11,0.013912727,0.02519
16:16:12,0.012312727,0.02428
16:16:13,0.015261818,0.02414
16:16:14,0.013643636,0.02416
16:16:15,0.01304,0.02463
