Time,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out
15:06:02,5596.00,5543.34,25.50,1061.00,1046.09,25.75
15:06:03,5611.00,5506.38,26.00,1065.00,1054.98,25.50
15:06:04,5613.00,5482.78,26.25,1066.00,1051.02,25.75
15:06:05,5626.00,5495.48,26.25,1068.00,1052.99,25.75
15:06:06,5629.00,5498.41,26.25,1068.00,1052.99,25.75
15:06:07,5619.00,5463.30,26.50,1068.00,1057.95,25.50
15:06:08,5622.00,5416.18,27.00,1066.00,1051.02,25.75
15:06:09,5623.00,5417.15,27.00,1063.00,1053.00,25.50
15:06:10,5619.00,5463.30,26.50,1059.00,1049.03,25.50
15:06:10,5600.00,5444.82,26.50,1055.00,1040.18,25.75
15:06:11,5606.00,5475.95,26.25,1047.00,1052.00,24.75
15:06:12,5591.00,5461.29,26.25,1045.00,1025.52,26.00
15:06:13,5598.00,5417.86,26.75,1040.00,1020.61,26.00
15:06:14,5577.00,5372.83,27.00,1038.00,1028.23,25.50
15:06:15,5571.00,5391.72,26.75,1036.00,1021.44,25.75
15:06:16,5564.00,5360.31,27.00,1035.00,1015.70,26.00
15:06:17,5554.00,5400.10,26.50,1034.00,1029.11,25.25
15:06:18,5544.00,5390.37,26.50,1035.00,1020.46,25.75
15:06:19,5556.00,5377.21,26.75,1036.00,1016.68,26.00
15:06:20,5565.00,5385.92,26.75,1038.00,1023.42,25.75
15:06:21,5565.00,5385.92,26.75,1040.00,1035.08,25.25
15:06:22,5565.00,5410.79,26.50,1040.00,1040.00,25.00
15:06:23,5561.00,5382.05,26.75,1042.00,1027.36,25.75
15:06:24,5573.00,5393.66,26.75,1043.00,1033.18,25.50
15:06:25,5573.00,5443.71,26.25,1045.00,1025.52,26.00
15:06:26,5575.00,5395.60,26.75,1046.00,1026.50,26.00
15:06:27,5573.00,5393.66,26.75,1046.00,1031.30,25.75
15:06:28,5575.00,5445.67,26.25,1047.00,1032.29,25.75
15:06:29,5575.00,5395.60,26.75,1048.00,1033.28,25.75
15:06:30,5576.00,5396.56,26.75,1048.00,1028.46,26.00
15:06:31,5587.00,5407.21,26.75,1047.00,1032.29,25.75
